gender,NationalITy,StageID,GradeID,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion
M,KW,HighSchool,G-10,F,Father,50,70,32,40
M,venzuela,HighSchool,G-10,F,Mum,80,90,70,80
M,KW,HighSchool,G-10,F,Father,17,13,16,12
M,KW,HighSchool,G-10,F,Father,0,5,7,2
M,KW,HighSchool,G-12,F,Father,13,5,18,19
F,KW,HighSchool,G-12,F,Father,25,10,19,30
F,USA,HighSchool,G-12,F,Mum,65,75,23,80
F,USA,HighSchool,G-12,F,Mum,70,69,35,30
M,Jordan,MiddleSchool,G-07,F,Father,39,40,11,33
M,Jordan,MiddleSchool,G-07,F,Father,22,30,10,12
M,KW,MiddleSchool,G-07,F,Father,29,22,9,20
M,KW,MiddleSchool,G-07,F,Father,11,2,2,8
F,KW,MiddleSchool,G-07,F,Father,19,30,26,19
M,KW,MiddleSchool,G-07,F,Father,12,0,6,13
M,Jordan,MiddleSchool,G-07,F,Mum,50,90,29,60
M,Iran,HighSchool,G-09,F,Mum,15,70,37,44
M,KW,HighSchool,G-09,F,Father,20,80,33,33
M,KW,HighSchool,G-11,F,Father,13,3,11,9
F,lebanon,MiddleSchool,G-07,F,Mum,80,90,49,55
M,KW,MiddleSchool,G-07,F,Father,8,15,10,40
M,KW,lowerlevel,G-02,F,Father,8,25,1,70
M,KW,lowerlevel,G-02,F,Father,7,5,2,80
M,KW,lowerlevel,G-02,F,Father,7,4,10,50
M,KW,lowerlevel,G-02,F,Father,50,70,50,10
M,KW,lowerlevel,G-02,F,Father,1,0,1,12
M,SaudiArabia,lowerlevel,G-02,F,Father,70,12,40,50
M,KW,lowerlevel,G-02,F,Father,19,70,3,50
F,KW,lowerlevel,G-02,F,Father,3,12,4,33
M,KW,lowerlevel,G-02,F,Father,5,20,1,50
M,KW,lowerlevel,G-02,F,Father,4,8,10,60
M,KW,lowerlevel,G-02,F,Father,80,90,55,19
F,KW,lowerlevel,G-02,F,Father,50,70,19,15
M,USA,lowerlevel,G-02,F,Father,55,89,40,40
F,KW,lowerlevel,G-02,F,Father,80,44,35,10
F,KW,lowerlevel,G-02,F,Father,100,80,2,70
F,KW,lowerlevel,G-02,F,Father,14,60,11,75
F,KW,lowerlevel,G-02,F,Father,6,2,38,12
F,KW,lowerlevel,G-02,F,Father,10,3,0,30
